obs,start,stop,freq,flux,err,rms,band
1,2024-02-05 22:26:19.9,2024-02-06 9:53:54.9,5.5,684,67,31,C
1,2024-02-05 22:26:24.929688,2024-02-05 23:12:14.929688,9.0,340.132,71.42112702695191,0,X
1,2024-02-05 23:12:14.929688,2024-02-05 23:58:04.929688,9.0,256.146,62.82869983964335,0,X
1,2024-02-05 23:58:04.929688,2024-02-06 00:43:54.929688,9.0,262.101,74.63200317064054,0,X
1,2024-02-06 00:43:54.929688,2024-02-06 01:29:44.929688,9.0,321.695,57.128316957551796,0,X
1,2024-02-06 01:29:44.929688,2024-02-06 02:15:34.929688,9.0,432.498,56.81006872817529,0,X
1,2024-02-06 02:15:34.929688,2024-02-06 03:01:24.929688,9.0,440.987,53.17901740040427,0,X
1,2024-02-06 03:01:24.929688,2024-02-06 03:47:14.929688,9.0,438.93399999999997,51.40691507744848,0,X
1,2024-02-06 03:47:14.929688,2024-02-06 04:33:04.929688,9.0,322.56,48.99553662324763,0,X
1,2024-02-06 04:33:04.929688,2024-02-06 05:18:54.929688,9.0,318.543,51.360076486824866,0,X
1,2024-02-06 05:18:54.929688,2024-02-06 06:04:44.929688,9.0,376.76099999999997,54.14398907766679,0,X
1,2024-02-06 06:04:44.929688,2024-02-06 06:50:34.929688,9.0,360.30600000000004,49.254661315757716,0,X
1,2024-02-06 06:50:34.929688,2024-02-06 07:36:24.929688,9.0,308.07399999999996,49.94670780041463,0,X
1,2024-02-06 07:36:24.929688,2024-02-06 08:22:14.929688,9.0,240.04899999999998,50.453043784914506,0,X
1,2024-02-06 08:22:14.929688,2024-02-06 09:08:04.929688,9.0,332.585,55.05582801958844,0,X
1,2024-02-06 09:08:04.929688,2024-02-06 09:53:54.929688,9.0,318.574,59.52126001505681,0,X
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,5.5,548,75,40,C
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,5.5,624,46,23,C
4,2024-02-16 23:36:49.9,2024-02-16 6:26:09.9,5.5,660,23,17,C
5,2024-02-23 07:06:40.0,2024-02-23 10:55:10.0,5.5,393,42,45,C
6,2024-02-29 03:00:00.0,2024-02-29 10:00:00.0,5.5,620,30,24,C
7,2024-03-31 00:00:00.0,2024-03-31 08:30:30.0,5.5,541,23,22,C
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,5.5,688,37,30,C
9,2024-06-13 16:05:50.0,2024-06-14 02:51:40.0,5.5,738,19,7,C
10,2024-07-12 12:28:29.9,2024-07-12 12:28:29.9,5.5,737,11,8,C
