obs,start,stop,freq,flux,err,rms
1,2024-02-05 22:26:19.9,2024-02-06 9:53:59.9,5.5,89,19,18
1,2024-02-05 22:26:19.9,2024-02-06 9:53:59.9,9.0,107,5.3,11
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,5.5,97,30,60
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,9.0,297,22,29
2,2024-02-07 7:04:09.9,2024-02-07 10:31:29.9,17,988,46,61
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,5.5,195,7,19
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,9.0,471,16,14
3,2024-02-12 5:13:09.9,2024-02-12 7:58:19.9,17,319,45,30
4,2024-02-16 23:36:49.9,2024-02-16 6:26:09.9,5.5,294,9,12
4,2024-02-16 23:36:49.9,2024-02-16 6:26:09.9,9.0,535,15,11
4,2024-02-17 00:22:29.9,2024-02-17 5:55:49.9,17,729,23,20
5,2024-02-23 07:06:39.9,2024-02-23 10:55:09.9,5.5,230,20,24
5,2024-02-23 07:06:39.9,2024-02-23 10:55:09.9,9.0,302,20,19
6,2024-02-29 13:35:37.6,2024-02-29 14:37:04.1,1.4,95,13,22
6,2024-02-29 13:42:40.1,2024-02-29 14:43:58.9,2.8,187,16,27
6,2024-02-29 03:00:00.0,2024-02-29 10:00:00.0,5.5,230,20,24
6,2024-02-29 03:00:00.0,2024-02-29 10:00:00.0,9.0,302,20,19
6,2024-02-29 03:00:00.0,2024-02-29 10:00:00.0,17,97,16,39
7,2024-03-31 00:00:00.0,2024-03-31 08:30:30.0,5.5,378,17,21
7,2024-03-31 00:00:00.0,2024-03-31 08:30:30.0,9.0,200,14,17
7,2024-03-31 00:00:00.0,2024-03-31 08:30:30.0,17,179,85,40
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,1.4,210,22,51
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,2.8,364,22,38
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,5.5,271,16,32
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,9.0,185,14,26
9,2024-06-14 22:49:12.0,2024-06-14 23:39:29.0,1.4,179,27,58
9,2024-06-14 22:50:07.0,2024-06-14 23:37:33.0,2.8,152,11,14
9,2024-06-13 16:05:50.0,2024-06-14 02:51:40.0,5.5,150,8,7
9,2024-06-13 16:05:50.0,2024-06-14 02:51:40.0,9.0,100,12,6
