obs,start,stop,freq,flux,err,rms,band
1,2024-02-05 22:26:19.9,2024-02-06 9:53:54.9,5.5,66,33,30,C
1,2024-02-05 22:26:24.900000,2024-02-05 22:41:24.900000,9,115.57000000000001,75.5,0,X
1,2024-02-05 22:41:34.900000,2024-02-05 22:56:34.900000,9,269.83,82.8,0,X
1,2024-02-05 22:56:44.900000,2024-02-05 23:11:44.900000,9,17.646,77.2,0,X
1,2024-02-05 23:11:54.900000,2024-02-05 23:26:54.900000,9,109.3,68.5,0,X
1,2024-02-05 22:26:24.900000,2024-02-05 22:56:24.900000,9,178.27,56.199999999999996,0,X
1,2024-02-05 22:56:24.900000,2024-02-05 23:26:24.900000,9,69.777,51.6,0,X
1,2024-02-05 23:26:34.900000,2024-02-05 23:56:34.900000,9,230.32,51.0,0,X
1,2024-02-05 23:57:04.900000,2024-02-06 00:27:04.900000,9,-110.41,104.0,0,X
1,2024-02-06 00:27:04.900000,2024-02-06 00:57:04.900000,9,175.24,40.800000000000004,0,X
1,2024-02-06 00:57:14.900000,2024-02-06 01:27:14.900000,9,150.51,44.7,0,X
1,2024-02-06 01:27:44.900000,2024-02-06 01:57:44.900000,9,121.69,42.2,0,X
1,2024-02-06 01:57:54.900000,2024-02-06 02:27:54.900000,9,170.45,36.699999999999996,0,X
1,2024-02-06 02:28:04.900000,2024-02-06 02:58:04.900000,9,187.54000000000002,37.4,0,X
1,2024-02-06 02:58:24.900000,2024-02-06 03:28:24.900000,9,104.63000000000001,34.6,0,X
1,2024-02-06 03:28:34.900000,2024-02-06 03:58:34.900000,9,92.07199999999999,33.9,0,X
1,2024-02-06 03:58:44.900000,2024-02-06 04:28:44.900000,9,5.2544,35.6,0,X
1,2024-02-06 04:29:04.900000,2024-02-06 04:59:04.900000,9,106.54,34.5,0,X
1,2024-02-06 04:59:14.900000,2024-02-06 05:29:14.900000,9,82.606,55.0,0,X
1,2024-02-06 05:29:24.900000,2024-02-06 05:59:24.900000,9,119.29,40.800000000000004,0,X
1,2024-02-06 05:59:24.900000,2024-02-06 06:29:24.900000,9,73.971,33.9,0,X
1,2024-02-06 07:29:14.900000,2024-02-06 08:29:14.900000,9,96.501,26.299999999999997,0,X
1,2024-02-06 08:29:24.900000,2024-02-06 09:29:24.900000,9,136.9,28.2,0,X
1,2024-02-06 09:29:24.900000,2024-02-06 10:29:24.900000,9,46.425,49.1,0,X
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,5.5,97,30,60,C
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,9,297,22,29,X
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,8.165,389,54,0,Xspecfit
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,8.425,333,59,0,Xspecfit
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,8.675,390,58,0,Xspecfit
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,8.935,380,61,0,Xspecfit
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,9.185,281,51,0,Xspecfit
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,9.445,432,90,0,Xspecfit
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,9.705,361,49,0,Xspecfit
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,9.965,155,58,0,Xspecfit
2,2024-02-07 7:04:09.9,2024-02-07 10:31:29.9,16.7,988,47,61,Ku
2,2024-02-07 7:04:09.9,2024-02-07 10:31:29.9,21.2,764,160,192,K
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,5.5,182,20,30,C
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,9.0,447,17,21,X
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,8.125,381,67,0,Xspecfit
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,8.375,399,66,0,Xspecfit
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,8.625,477,69,0,Xspecfit
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,8.875,507,68,0,Xspecfit
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,9.125,480,66,0,Xspecfit
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,9.375,463,66,0,Xspecfit
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,9.625,573,63,0,Xspecfit
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,9.875,581,64,0,Xspecfit
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,10.125,1207,550,0,Xspecfit
3,2024-02-12 5:13:09.9,2024-02-12 7:58:19.9,16.7,442,94,36,Ku
4,2024-02-16 23:36:49.9,2024-02-16 6:26:09.9,5.5,294,9,12,C
4,2024-02-16 23:36:49.9,2024-02-17 6:26:09.9,9,535,15,11,X
4,2024-02-16 23:36:49.9,2024-02-17 6:26:09.9,8.125,528,28,0,Xspecfit
4,2024-02-16 23:36:49.9,2024-02-17 6:26:09.9,8.375,544,18,0,Xspecfit
4,2024-02-16 23:36:49.9,2024-02-17 6:26:09.9,8.625,535,30,0,Xspecfit
4,2024-02-16 23:36:49.9,2024-02-17 6:26:09.9,8.875,525,29,0,Xspecfit
4,2024-02-16 23:36:49.9,2024-02-17 6:26:09.9,9.125,538,28,0,Xspecfit
4,2024-02-16 23:36:49.9,2024-02-17 6:26:09.9,9.375,604,29,0,Xspecfit
4,2024-02-16 23:36:49.9,2024-02-17 6:26:09.9,9.625,534,27,0,Xspecfit
4,2024-02-16 23:36:49.9,2024-02-17 6:26:09.9,9.875,535,27,0,Xspecfit
4,2024-02-16 23:36:49.9,2024-02-17 6:26:09.9,10.125,961,303,0,Xspecfit
4,2024-02-17 00:22:29.9,2024-02-17 5:55:49.9,16.7,729,23,20,Ku
4,2024-02-17 02:14:34.928223,2024-02-17 05:55:49.9,21.2,548,38,45,K
5,2024-02-23 07:06:39.9,2024-02-23 10:55:09.9,5.5,407,29,36,C
5,2024-02-23 07:06:39.9,2024-02-23 10:55:09.9,9.0,225,25,36,X
6,2024-02-29 13:35:37.6,2024-02-29 14:37:04.1,1.3,95,13,22,L
6,2024-02-29 13:42:40.1,2024-02-29 14:43:58.9,3.1,187,16,27,S
6,2024-02-29 03:00:00.0,2024-02-29 10:00:00.0,5.5,230,20,24,C
