obsdate,freq,flux,err,rms
0.0668723571,5.5,90,27,31
0.02129318066,9,105,45,0
0.065992589,9,184,41,0
0.1068759865,9,-7,71,0
0.147158974,9,158,34,0
0.1872294934,9,140,34,0
0.2271999894,9,182,30,0
0.2671153677,9,111,28,0
0.3069971279,9,15,28,0
0.3468568665,9,98,31,0
0.3867013933,9,113,33,0
0.4265349713,9,94,32,0
0.4663604061,9,106,35,0
1.427498043,5.5,58,32,30
1.427498043,9,312,43,22
1.4389862,16.7,969,202,61
1.4389862,21.2,714,216,192
6.32060285,5.5,199,10,30
6.32060285,9,467,25,21
10.69429047,5.5,320,17,12
11.19937478,9,550,18,11
11.20500295,16.7,712,27,20
11.24425625,21.2,648,54,45
17.44969231,5.5,532,53,48
17.44969231,9,549,54,42
23.51750244,0.81,-1,-1,25
23.66196781,1.3,80,26,20
24.66681373,3.1,185,26,22
23.34461394,5.5,284,33,33
23.34461394,9,376,5,38
54.25120348,5.5,370,23,21
54.25120348,9,188,19,17
75.12617408,1.6,320,85,62
75.12617408,2.6,413,53,46
75.12617408,5.5,268,32,32
75.12617408,9,164,20,25
130.0425278,1.3,219,23,26
130.0425278,3.1,148,15,15
128.9690064,5.5,143,10,7
128.9690064,9,98,7,6
161.7666741,1.6,-1,-1,21
161.7666741,2.6,167,34,15
157.5940266,5.5,116,14,9
157.5940266,9,86,7,7
