date,obs,freq,flux,ferr,rms
0.25,1,5.5,89,19,18
0.25,1,9,107,5,11
1.4,2,5.5,97,30,60
1.4,2,9,297,22,29
1.4,2,16.7,988,46,61
1.4,2,21.2,764,160,192
6.3,3,5.5,195,7,19
6.3,3,9,471,16,14
6.3,3,16.7,319,45,30
11,4,5.5,294,9,12
11,4,9,535,15,11
11,4,16.7,729,23,20
11,4,21.2,548,38,45
17,5,5.5,407,29,36
17,5,9,225,25,36
23,6,0.815,-1,-1,26
23,6,1.28,95,13,22
23,6,3.06,187,16,27
23,6,5.5,230,20,24
23,6,9,302,20,19
23,6,16.7,97,16,39
23,6,21.2,-1,-1,123
54,7,5.5,378,17,21
54,7,9,200,14,17
54,7,16.7,179,85,40
54,7,21.2,-1,-1,89
75,8,1.5,210,55,51
75,8,2.5,364,22,38
75,8,5.0,289,24,44
75,8,6.0,260,20,40
75,8,8.5,190,20,36
75,8,9.5,120,9,33
129,9,1.3,187,20,35
129,9,3.1,152,11,14
129,9,5,161,11,11
129,9,6,137,9,11
129,9,8.5,88,8,9
129,9,9.5,120,9,8
